2018-04-14 15:42:58:477 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - No active profile set, falling back to default profiles: default
2018-04-14 15:43:06:036 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Started OrderServiceImplTest in 8.894 seconds (JVM running for 10.558)
2018-04-14 15:45:31:993 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Starting OrderServiceImplTest on xieminghuideMBP.lan with PID 5818 (started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 15:45:31:999 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - No active profile set, falling back to default profiles: default
2018-04-14 15:45:38:858 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Started OrderServiceImplTest in 8.062 seconds (JVM running for 9.626)
2018-04-14 15:48:02:415 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Starting OrderServiceImplTest on xieminghuideMBP.lan with PID 5821 (started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 15:48:02:416 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - No active profile set, falling back to default profiles: default
2018-04-14 15:48:09:951 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Started OrderServiceImplTest in 8.946 seconds (JVM running for 10.47)
2018-04-14 15:48:35:984 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Starting OrderServiceImplTest on xieminghuideMBP.lan with PID 5823 (started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 15:48:35:986 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - No active profile set, falling back to default profiles: default
2018-04-14 15:48:44:373 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Started OrderServiceImplTest in 9.98 seconds (JVM running for 11.767)
2018-04-14 16:00:00:807 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Starting OrderServiceImplTest on xieminghuideMBP.lan with PID 5835 (started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 16:00:00:812 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - No active profile set, falling back to default profiles: default
2018-04-14 16:00:09:696 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Started OrderServiceImplTest in 10.323 seconds (JVM running for 12.582)
2018-04-14 16:04:01:903 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Starting OrderServiceImplTest on xieminghuideMBP.lan with PID 5840 (started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 16:04:01:905 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - No active profile set, falling back to default profiles: default
2018-04-14 16:04:10:391 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Started OrderServiceImplTest in 9.978 seconds (JVM running for 11.773)
2018-04-14 16:05:31:104 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Starting OrderServiceImplTest on xieminghuideMBP.lan with PID 5843 (started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 16:05:31:125 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - No active profile set, falling back to default profiles: default
2018-04-14 16:05:38:083 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Started OrderServiceImplTest in 8.2 seconds (JVM running for 9.752)
2018-04-14 16:05:38:375 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - [创建订单]result=OrderDTO(orderId=null, buyerName=谢明辉, buyerPhone=110110111, buyerAddress=广工, buyerOpenid=110110, orderAmount=null, orderStatus=null, payStatus=null, createTime=null, updateTime=null, orderDetailList=[OrderDetail(detailId=d90c0ca2d0f04b69aadfa71ae92c37b0, orderId=96d02783bbc448d98b85a21e650af133, productId=123453, productName=芒果冰, productPrice=7.00, productQuantity=1, productIcon=www.baidu.com), OrderDetail(detailId=377d96ca0c154d5ea85ed163239eca33, orderId=96d02783bbc448d98b85a21e650af133, productId=123456, productName=皮蛋粥, productPrice=3.20, productQuantity=2, productIcon=www.xxx.icon), OrderDetail(detailId=377d96ca0c154d5ea85ed163239eca33, orderId=96d02783bbc448d98b85a21e650af133, productId=123456, productName=皮蛋粥, productPrice=3.20, productQuantity=2, productIcon=www.xxx.icon)])
2018-04-14 16:25:42:091 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Starting OrderServiceImplTest on xieminghuideMBP.lan with PID 5862 (started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 16:25:42:092 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - No active profile set, falling back to default profiles: default
2018-04-14 16:25:48:982 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Started OrderServiceImplTest in 8.231 seconds (JVM running for 9.952)
